"Республика Адыгея","79000","АДЫГЕЯ"
"Республика Алтай","84000","АЛТАЙ"
"Республика Башкортостан","80000","БАШКОРТОСТАН"
"Республика Бурятия","81000","БУРЯТИЯ"
"Республика Дагестан","82000","ДАГЕСТАН"
"Республика Ингушетия","26000","ИНГУШЕТИЯ"
"Кабардино-Балкарская республика","83000","КАБАРДИНО-БАЛКАРСКАЯ"
"Республика Калмыкия","85000","КАЛМЫКИЯ"
"Карачаево-Черкесская республика","91000","КАРАЧАЕВО-ЧЕРКЕССКАЯ"
"Республика Карелия","86000","КАРЕЛИЯ"
"Республика Коми","87000","КОМИ"
"Республика Крым","35000","КРЫМ"
"Республика Марий Эл","88000","МАРИЙ ЭЛ"
"Республика Мордовия","89000","МОРДОВИЯ"
"Республика Саха (Якутия)","98000","ЯКУТИЯ"
"Республика Северная Осетия — Алания","90000","АЛАНИЯ"
"Республика Татарстан","92000","ТАТАРСТАН"
"Республика Тыва","93000","ТЫВА"
"Удмуртская республика","94000","УДМУРТСКАЯ"
"Республика Хакасия","95000","ХАКАСИЯ"
"Чеченская республика","96000","ЧЕЧЕНСКАЯ"
"Чувашская республика","97000","ЧУВАШСКАЯ"
"Алтайский край","01000","АЛТАЙСКИЙ"
"Забайкальский край","76000","ЗАБАЙКАЛЬСКИЙ"
"Камчатский край","30000","КАМЧАТСКИЙ"
"Краснодарский край","03000","КРАСНОДАРСКИЙ"
"Красноярский край","04000","КРАСНОЯРСКИЙ"
"Пермский край","57000","ПЕРМСКИЙ"
"Приморский край","05000","ПРИМОРСКИЙ"
"Ставропольский край","07000","СТАВРОПОЛЬСКИЙ"
"Хабаровский край","08000","ХАБАРОВСКИЙ"
"Амурская область","10000","АМУРСКАЯ"
"Архангельская область","11000","АРХАНГЕЛЬСКАЯ"
"Астраханская область","12000","АСТРАХАНСКАЯ"
"Белгородская область","14000","БЕЛГОРОДСКАЯ"
"Брянская область","15000","БРЯНСКАЯ"
"Владимирская область","17000","ВЛАДИМИРСКАЯ"
"Волгоградская область","18000","ВОЛГОГРАДСКАЯ"
"Вологодская область","19000","ВОЛОГОДСКАЯ"
"Воронежская область","20000","ВОРОНЕЖСКАЯ"
"Ивановская область","24000","ИВАНОВСКАЯ"
"Иркутская область","25000","ИРКУТСКАЯ"
"Калининградская область","27000","КАЛИНИНГРАДСКАЯ"
"Калужская область","29000","КАЛУЖСКАЯ"
"Кемеровская область","32000","КЕМЕРОВСКАЯ"
"Кировская область","33000","КИРОВСКАЯ"
"Костромская область","34000","КОСТРОМСКАЯ"
"Курганская область","37000","КУРГАНСКАЯ"
"Курская область","38000","КУРСКАЯ"
"Ленинградская область","41000","ЛЕНИНГРАДСКАЯ"
"Липецкая область","42000","ЛИПЕЦКАЯ"
"Магаданская область","44000","МАГАДАНСКАЯ"
"Московская область","46000","МОСКОВСКАЯ"
"Мурманская область","47000","МУРМАНСКАЯ"
"Нижегородская область","22000","НИЖЕГОРОДСКАЯ"
"Новгородская область","49000","НОВГОРОДСКАЯ"
"Новосибирская область","50000","НОВОСИБИРСКАЯ"
"Омская область","52000","ОМСКАЯ"
"Оренбургская область","53000","ОРЕНБУРГСКАЯ"
"Орловская область","54000","ОРЛОВСКАЯ"
"Пензенская область","56000","ПЕНЗЕНСКАЯ"
"Псковская область","58000","ПСКОВСКАЯ"
"Ростовская область","60000","РОСТОВСКАЯ"
"Рязанская область","61000","РЯЗАНСКАЯ"
"Самарская область","36000","САМАРСКАЯ"
"Саратовская область","63000","САРАТОВСКАЯ"
"Сахалинская область","64000","САХАЛИНСКАЯ"
"Свердловская область","65000","СВЕРДЛОВСКАЯ"
"Смоленская область","66000","СМОЛЕНСКАЯ"
"Тамбовская область","68000","ТАМБОВСКАЯ"
"Тверская область","28000","ТВЕРСКАЯ"
"Томская область","69000","ТОМСКАЯ"
"Тульская область","70000","ТУЛЬСКАЯ"
"Тюменская область","71000","ТЮМЕНСКАЯ"
"Ульяновская область","73000","УЛЬЯНОВСКАЯ"
"Челябинская область","75000","ЧЕЛЯБИНСКАЯ"
"Ярославская область","78000","ЯРОСЛАВСКАЯ"
"Москва","45000","МОСКВА"
"Санкт-Петербург","40000","САНКТ-ПЕТЕРБУРГ"
"Севастополь","67000","СЕВАСТОПОЛЬ"
"Еврейская автономная область","99000","ЕВРЕЙСКАЯ"
"Ненецкий автономный округ","11100","НЕНЕЦКИЙ"
"Ханты-Мансийский автономный округ - Югра","71100","ХАНТЫ-МАНСИЙСКИЙ"
"Чукотский автономный округ","77000","ЧУКОТСКИЙ"
"Ямало-Ненецкий автономный округ","71140","ЯМАЛО-НЕНЕЦКИЙ"
